ts,brand,category,idtype_count,device_cummulative_cnts,,,,,,
6/14/2021,Samsung,Plug,2,2182,,,,,,
6/14/2021,Satechi,Plug,1,4,,,,,,
6/14/2021,Shelly,Plug,1,1,,,,,,
6/14/2021,Smart Life,Plug,1,30,,,,,,
6/14/2021,Teckin,Plug,1,9,,,,,,
6/14/2021,ThinkEco,Plug,1,8,,,,,,
6/14/2021,TP-Link,Plug,7,12922,,,,,,
6/14/2021,Ubiquiti,Plug,1,34,,,,,,
6/14/2021,Vocolinc,Plug,4,37,,,,,,
6/14/2021,VOCOlinc,Plug,2,76,,,,,,
6/14/2021,WiOn,Plug,1,20,,,,,,
6/14/2021,Wyze,Plug,1,2841,,,,,,
6/14/2021,Xiaomi,Plug,1,15,,,,,,
6/14/2021,Brother,Printer,1,21381,,,,,,
6/14/2021,Canon,Printer,141,36749,,,,,,
6/14/2021,CANON,Printer,2,2,,,,,,
6/14/2021,Creality,Printer,1,7,,,,,,
6/14/2021,Dell,Printer,1,250,,,,,,
6/14/2021,Epson,Printer,130,34440,,,,,,
6/14/2021,EPSON,Printer,55,502,,,,,,
6/14/2021,Formlabs 3D,Printer,1,1,,,,,,
6/14/2021,FP Postbase Postage Meter,Printer,1,4,,,,,,
6/14/2021,Fuji-Xerox,Printer,1,13,,,,,,
6/14/2021,Glowforge,Printer,1,6,,,,,,
6/14/2021,HP,Printer,1,71445,,,,,,
6/14/2021,Kodak,Printer,5,96,,,,,,
6/14/2021,Konica Minolta,Printer,1,75,,,,,,
6/14/2021,Kyocera,Printer,1,21,,,,,,
6/14/2021,Lexmark,Printer,1,342,,,,,,
6/14/2021,MakerBot,Printer,1,24,,,,,,
